Year,Keywords
2016,"Fuzzy c-means (FCM), fuzzy subspace clustering (FSC), knowledge leverage, prototype-based clustering, transfer learning"
2017,"Fuzzy C-means (FCM), Transfer learning, Knowledge transfer, Image segmentation, Data heterogeneity"
2017,"Fuzzy model, fuzzy rules, machine learning, regression, transfer learning"
2013,"Fuzzy modeling, fuzzy systems (FS), knowledge leverage (KL), missing data, transfer learning"
2013,"Fuzzy modeling, fuzzy systems, knowledge leverage, Mamdani-Larsen fuzzy model, missing data, reduced set density estimator (RSDE), transfer learning"
2018,"Fuzzy rules, granular computing (GrC), machine learning, regression, transfer learning"
2013,"gait complexity, non-stationary process, transfer learning"
2014,"Gait recognition, Covariate conditions, Learning to rank, Transfer learning, Distance learning"
2012,"Gait recognition, Learning to rank, Transfer learning"
2018,"Gastro intestinal tract, Deep learning, Texture, Ensemble, Transfer learning"
2018,"Gaussian Process, Domain Adaptation, Transfer Learning, Homogeneous"
2011,"Gaussian processes, multi-task learning, asymmetric setting, negative transfer"
2012,"Gaussian processes, Multi-task learning, Transfer learning, Negative transfer"
2018,"Gaze estimation, implicit modeling, data validation, gaze-interaction alignment, gaze transfer learning"
2018,"Generation of representation during development, robots with development and learning skills, transfer learning"
2018,"Generative adversarial networks, Image-to-image translation, Semantic invariance"
2012,"Genetic algorithms, human computer interaction, weighted support vector machine, surrogate model, transfer learning"
2016,"Genetic programming, Transfer learning, Building blocks, Code fragments, Texture image classification"
2018,"Genital injury, Forensics, Digital colposcopy, Deep learning, Neural networks, Segmentation, Classification, Transfer learning, Image processing"
2011,"Good Similarity Functions, Transfer Learning, Domain Adaptation, image Classification"
2011,"Good Similarity Functions, Transfer Learning, Domain Adaptation, Image Classification"
2015,"graph learning, probabilistic graph matching, relational data mining, graph mining, collaborative data analysis, distributed processing, attributed graphs, transfer learning"
2016,"Group-based verification, open-world re-identification, transfer relative distance comparison"
2018,"Handwriting Recognition, Historical Document, Transfer Learning, Deep Neural Network, Unlabeled Data"
2018,"Handwriting recognition, knowledge transfer, Optical model, Language model"
2018,"Handwriting Recognition, Language Model, Transfer Learning, Bootstrap, Historical Document Analysis"
2018,"Handwritten signature verification, Representation learning, Convolutional neural networks, Transfer learning, Domain adaptation"
2018,"Handwritting Recognition, Image Generation, Digit Detection, Deep Neural Networks, Knowledge Transfer"
2015,"Hedge detection, Cross-domain, Transfer learning"
2013,"hemophilia, missense mutation, factor IX, SVM"
2018,"HEp-2 cell classification, Residual network, Deeply supervised ResNet, Cross-modal transfer learning"
2014,"Heterogeneous domain adaptation, domain adaptation, transfer learning, augmented features"
2015,"heterogeneous feature space, transfer learning, unsupervised learnig, multi-task learning, feature mapping"
2014,"Heterogeneous feature spaces, co-transfer learning, spectral clustering, canonical correlation analysis"
2016,"Histograms of Topographical (HoT) features, Spectral regression, Transfer learning, Temporal filtering, Continuous pain intensity estimation"
2015,"Histograms of Topographical features (HoT), Spectral regression, Transfer learning, Pain intensity estimation"
2017,"Histopathological image analysis, Deep contour-aware network, Deep learning, Transfer learning, Object detection, Instance segmentation"
2013,"Human Action Recognition, Transfer Learning, Ubiquitous Computing, Computer Vision, Video Analysis"
2017,"Human activity recognition, Extreme learning machine, Inertial sensors, Mixed kernel, Machine learning"
2017,"Human carrying baggage classification, Convolution neural network, Transfer learning, Direction attribute, Region division"
2012,"Human motion, Gait analysis, 3D human pose tracking, Transfer learning, Gender recognition, Human attributes"
2019,"Humanoid robotics, Robot vision, Visual object recognition, Machine learning, Deep learning, Transfer learning, Image dataset, Dataset collection, Representation invariance, iCub"
2013,"Hyperspectral images, Transfer learning, Target detection, Segmentation"
2017,"Hyperspectral remote sensing, Classification, Active Learning, Transfer Learning"
2015,"ICD-9-CM, Text classification, Transfer learning, Learning to rank, Document expansion, Icd coding task"
2017,"Image classification, CNN, deep learning, transfer learning, remote sensing"
2018,"Image classification, Convolutional neural network, Transfer learning, Animal behavior analysis, Hummingbird detection"
2017,"Image classification, Texture, Image processing, Ensemble of descriptors, Person re-identification"
2015,"Image Classification, Transfer Learning, BoF, CNN"
2017,"Image fusion, Layer division, Transfer learning, Coupled dictionary"
2019,"Image processing, Target detection, Transfer learning, Target heat-map network, decoder network"
2017,"image quality, no reference, transfer learning"
2018,"Image restoration, discriminative learning, proximal optimization"
2017,"Image retrieval, medical imaging, deep learning, CNNs, digital pathology, image classification, deep features, VGG, Inception"
2016,"Image segmentation, Brain parcellation, Medical imaging"
2018,"Image segmentation, Image classification, Deep learning, Transfer learning, Convolutional neural network, Fully convolutional network"
2017,"image sentiment analysis, multi-modal embedding, heterogeneous transfer learning, multimodal deep learning"
2016,"Image super resolution, Transfer learning, Example learning-based"
2017,"Image tagging, Convolutional neural networks, Personalized tag recommendation, Factorization models"
2016,"Image-based localization, Active transfer learning, Thermal imaging"
2013,"Imitation learning, Inverse reinforcement learning, Transfer learning, Bootstrapping"
2014,"Improved KL-TSK-FS, Fuzzy systems, Knowledge leverage, Missing data, Fuzzy modeling, Transfer learning"
2018,"incipient fault diagnosis, DNN, transfer learning"
2014,"Incremental Learning, Incomplete Data, Transfer Learning, Covering Algorithms, Rules Family"
2017,"Incremental learning, Transfer learning, Concept drift"
2017,"Incremental Learning, Transfer Learning, Convolutional Neural Networks, Associative Memories"
2010,"incremental SVM, car detection, constraint training, incremental re-training, transfer learning"
2017,"Individual healthcare, Transfer learning, Neural networks, Disease prediction, Unlabeled data"
2013,"Inductive transfer learning, Minimum description length principle, Feature-based transfer"
2010,"Inductive transfer, Bayesian networks, Structure learning, Parameter learning"
2009,"inductive, error, neural network, Imbalance, regroup"
2009,"Information Retrieval, Transfer Learning, Kullback-leibler Divergence, Markov Network"
2017,"Instance-transfer learning, Conformity prediction framework, Exchangeability test"
2017,"Instance-transfer learning, Source-subset selection, Conformal test"
2016,"Intelligent transportation systems, Deep learning, Spatio-temporal, Time series prediction, Convolutional neural network"
2018,"Intention posts identification, Multi-instance learning, Multiple sources transfer learning, Classification in discussion forums"
2016,"IR pedestrian detection, Scenarios adaptation, Transfer learning, Boosting, Classification disagreement"
2018,"Iris sensor identification, Forensics, Iris sensor interoperability, Convolutional Neural Networks"
2010,"Kernel Learning, Maximum Mean Discrepancy"
2016,"keyword spotting, DNN, Deep Neural Network, multi-task learning, weighted cross entropy"
2017,"keyword spotting, time delay neural network, singular value decomposition, small-footprint"
2015,"Kinship verification, Transfer metric learning, Cross domain, Sparse representation"
2011,"KNN, data distribution, transfer learning, classification"
2012,"Knowledge transfer, transfer learning, feature extraction, sparse coding, low-quality data"
2016,"Land-cover Classification, Remote Sensing, Domain Adaptation, Ensemble of Multilayer Perceptron, Transfer Learning"
2018,"Large datasets, Classification, Support vector machine, Transfer learning, Group probability"
2018,"learning (artificial intelligence), pattern classification, negative back-dropout transfer learning, action recognition, dataset annotation, vision tasks, classification performance, category bias, NB-TL, UCF 101 dataset"
2013,"Learning taxonomy, Learning syntactic parse tree, Transfer learning, Syntactic generalization, Search relevance"
2009,"Learning to learn, Transfer learning, Kernel methods, Generalization"
2016,"learning-to-learn, multitask learning, representation learning, statistical learning theory, transfer learning"
2015,"Link Prediction, Signed Social Network, AdaBoost Algorithm"
2014,"Local Regression Transfer Learning, Importance Reweighting, Personality Prediction"
2010,"Locally Weighted Learning, Transfer Learning, Adaptive, Multi-model"
2018,"Low rank, multiview data, transfer learning"
2012,"low-rank, transfer learning, domain adaptation"
2013,"Machine learning, Activity recognition, Transfer learning, Smart environments"
2015,"Machine learning, Bayesian networks, Transfer learning"
2016,"Machine learning, Classification, Computer aided diagnosis, Transfer learning"
2016,"machine learning, cnn, k-nn, similarity search, transfer learning, fine-tuning, features, convolutional neural networks, digits, caffe"
2017,"Machine Learning, Computer Vision, Convolution Neural Network, Transfer Learning"
2017,"Machine Learning, Deep Learning, Convolutional Neural Network (CNN), Support Vector Machine, SVM, Ensemble Subspace Discriminant, Visual Impairment"
2017,"machine learning, fuzzy rules, transfer learning, classification"
2018,"machine learning, intrusion detection, transfer learning, training samples"
2009,"Machine Learning, Kernel Methods, Learning the Kernels, Support Vector Machine (SVM), Transfer Learning"
2010,"Machine learning, meta learning, task similarity, task space"
2015,"Machine learning, Multi-source learning, Domain adaptation, Transfer learning"
2012,"Machine learning, Transfer learning, Domain adaptation, Good similarity functions"
2011,"Machine Learning, Transfer Learning, Graph-based Model, Spectral Clustering"
2011,"Machine learning, Transfer learning, Part-based modeling, Support vector machine"
2012,"Machine learning, Transfer learning, Unsupervised learning, Metric learning, Kernel learning, Unlabeled data, Challenge, Competition"
2015,"Machine Vision, Universal feature extraction, Information Theory, Transfer learning"
2017,"Machine vision, universal feature extraction, information theory, transfer learning, extreme learning"
2017,"Mammograms, Masses, Detection, Segmentation, Classification, Deep learning, Bayesian optimisation, Transfer learning, Structured output learning"
2013,"Manifold Alignment, Indoor Localization, Transfer Learning, Hidden Markov Model"
2018,"Manifold, Transfer learning, Alternating direction method of multipliers, Object tracking, Augmented lagrange multiplier, Image tracking, Image recognition, Object categorization"
2018,"Manufacturing analytics, Deep learning, Transfer learning, Pellet shape classification"
2013,"maximum mean discrepancy embedding, local patches based maximum mean discrepancy, local domain adaptation feature extraction method"
2018,"Medical image analysis, Computer-assisted detection, Machine learning, Transfer learning, Negative transfer"
2018,"medical image processing, feature extraction, neural nets, support vector machines, image classification, image fusion, learning (artificial intelligence), biomedical compound figure detection, deep learning model, compound figure detection, CFD, pre-trained convolutional neural networks, CNN, transfer learning, image classification, support vector machine classifier, score-based fusion"
2018,"Medical images, Leukemia diagnosis, Convolutional neural networks, Transfer learning"
2017,"Memetic automaton, multiagent systems (MASs), natural selection, reinforcement learning (RL), transfer learning (TL)"
2016,"Memetic computation, Bi-level combinatorial optimization, Bi-level Vehicles routing problems"
2015,"Memetic computation, Evolutionary optimization of problems, Learning from past experiences, Culture-inspired, Evolutionary learning, Transfer learning"
2019,"Memetic evolutionary computing, Transfer learning, Co-evolution, Bi-level combinatorial optimization"
2015,"Memory virtualization, Support vector machines, Transfer"
2012,"Meta-analysis, fMRI, multiple comparison, machine learning"
2018,"Meta-learning, Ensemble learning, Evolutionary algorithms, Evolutionary programming, Combining classifiers, Regression models, Model blending, Automatic algorithm selection, Map reduce"
2014,"Meta-learning, Hierarchical ensembles, Ensemble classifiers, Bagging, Boosting, Stacking, Cascade generalization, Non-stationary environments, Transfer learning, Genetic programming"
2013,"Metric learning, k-nearest neighbors classification, nearest class mean classification, large scale image classification, transfer learning, zero-shot learning, image retrieval"
2018,"micro expression recognition, deep learning, trasnfer learning"
2018,"Micro-expression, Deep learning, Transferring learning, Convolutional neural network"
2018,"microblog, profile estimation, transfer learning"
2018,"Minimiax, Imbalanced Classification, Intersection of K Hyperplanes, Transfer Learning"
2015,"Missing modality, transfer learning, latent factor"
2015,"Mobile data, Behavior similarity, Common behavior analysis, Transfer learning, Principal component analysis, Sequential prediction"
2017,"Modality invariance, unsupervised speech processing, multimodal language processing, variational methods, regularization"
2017,"Model-based reinforcement learning, Transfer learning, Online feature selection"
2010,"model-based, afterstates, transfer learning, relational reinforcement learning, Markov decision processes"
2016,"Monocular, manifold, sequential labeling"
2019,"MRI classification, Abnormal brain images, Deep transfer learning, CNN"
2011,"Multi-agent reinforcement learning, Agent coordination, Transfer learning"
2010,"Multi-agent systems, reinforcement learning, transfer learning"
2018,"Multi-class problems, face recognition, object recognition, transfer learning, nonparametric models"
2017,"Multi-genre broadcast, Automatic speech recognition, Lightly-supervised training, LF-MMI, Segmentation"
2017,"Multi-instance learning, Domain transfer learning, Classifier adaptation, Gradient descent"
2018,"Multi-instance learning, Transfer learning, Metric learning, Bag weights estimation, Consistent maximum likelihood estimation"
2019,"Multi-modality emotion recognition, Deep learning, Transfer learning"
2018,"Multi-object tracking, tracking-by-detection, tracklet confidence, confidence-based data association, deep appearance learning, online transfer learning, surveillance system"
2018,"multi-source clustering, Laplace operator, spectral learning, multi-view spectral embedding"
2015,"Multi-task Learning, Machine learning, Blood transfusion, Health care, Regression, Classification"
2016,"Multi-task learning, Model-agnostic framework, Meta algorithm, Classification, Regression"
2009,"Multi-task learning, transfer learning, information entropy"
2014,"Multi-task reinforcement learning, Feature selection, Abstraction, Potential-based shaping, Transfer learning"
2016,"Multi-task, Transfer learning, Optimization, Healthcare, Data mining, Statistical analysis"
2016,"Multi-view clustering, Ensemble clustering, Similarity measure, Transfer learning, Co-clustering"
2019,"Multi-view learning, Transfer learning, Learning using privileged information, Support vector machine"
2014,"Multi-view, low-rank, common subspace"
2013,"multiclass classification, transfer learning, PLSA"
2016,"Multilingual, cross-lingual, semi-supervised training, deep neural network"
2016,"Multimodal emotion recognition, Bag-of-audio-words, Transfer learning, Long short-term memory, Convolutional neural networks"
2012,"Multiple outlooks learning, multiple views learning, transfer learning, support vector machines"
2017,"Multiple source domain adaptation, Transfer learning, Supervised low rank representation, Visual classification"
2014,"multiple source, transfer learning, negative transfer, imbalanced distribution"
2014,"Multivariate time series, action recognition, online temporal segmentation, saptio-temporal alignment, transfer learning"
2012,"Music genre classification, Self-taught learning, non-negative matrix factorization, Transfer learning"
2015,"Naive Bayes Nearest Neighbor, Domain adaptation, Transfer learning"
2018,"Natural language structuring, WordNet, WordNet2Vec, Vectorization, Network transformation, Sentiment analysis, Transfer learning, Big data, Complex networks"
2015,"Negative transfer, Transfer learning, Class noise detection"
2018,"Network traffic, convolutional neural networks, deep learning, transfer learning"
2013,"Network, Transfer learning"
2018,"neural nets, ear, feature extraction, learning (artificial intelligence), image classification, shallow classifier, deep learning-based averaging ensemble, DNNs, feature extractor, transfer learning, deep neural networks, combined AWE plus CVLE dataset, unconstrained ear recognition datasets, feature-extraction models, training dataset"
2018,"neural nets, unsupervised learning, image recognition, image representation, iterative methods, pattern clustering, enhanced multidataset transfer learning method, unsupervised person re-identification, co-training strategy, progressive unsupervised co-learning, iterative training process, transferred models, multiple source datasets, discriminative person representations, single model, large-scale benchmark datasets, CNN models, labelled source datasets, multiple convolutional neural network models, soft labels, target dataset clustering"
2016,"Neural Network, Biterm Topic Model, Pre-training, Social Emotion Detection, Short Text"
2017,"neural networks, transfer learning, progressive neural networks, computational paralinguistics, emotion recognition"
2019,"Non-linearity in deep learning, Pre-trained CNN models, Object recognition, Transfer learning"
2015,"Nonnegative Matrix Factorization, Transfer Learning, Geometrical Distribution, Probability Distribution"
2013,"Nonnegative shared subspace learning, Transfer learning, Auxiliary sources, Multi-task clustering"
2017,"Nutritional assessment, maize leaf analysis, deep learning, texture analysis, transfer learning, convolutional neural networks"
2011,"Object categorization, Randomized trees, Few examples, Interclass transfer, Transfer learning"
2018,"Object Detection, Computer Vision, Deep Learning, Convolutional Neural Networks, Region based Convolutional Neural Network, Inception, You Only Look Once, Single Shot Detection"
2018,"Object detection, convolutional neural networks, semi-supervised learning, transfer learning, visual similarity, semantic similarity, weakly supervised object detection"
2015,"Object detection, topic modelling, weakly supervised learning, Bayesian domain transfer, probabilistic modelling"
2012,"Object detection, Weakly supervised learning, Transfer learning, Conditional random fields"
2016,"Object recognition, detection, semantic segmentation, convolutional networks, deep learning, transfer learning"
2016,"Object recognition, domain adaptation, transfer learning, low-rank reconstruction, boosting, late fusion"
2018,"Object recognition, Image datasets, Convolutional neural networks, Transfer learning, Multimodality, Human computer interaction"
2012,"Object recognition, object tracking, sparse coding, transfer learning, visual prior"
2013,"object recognition, remote sensing, image processing, machine learning"
2015,"object recognition, zero-shot learning, transfer learning"
2017,"Object recognition, Zero-shot learning, Transfer learning, Visual-Semantic Embedding, Entity embedding"
2017,"Object, transfer learning, data mining, dynamic-TrAdaBoost, K-means"
2016,"Online action recognition, Online interaction recognition, Hierarchical, Transfer learning"
2017,"Online Advertising, Transfer Learning, CTR Prediction"
2010,"Online learning, Domain adaptation, Classifier combination, Transfer learning, Multi-task learning"
2018,"online transfer learning, heterogeneous transfer learning, ensemble learning"
2017,"Online transfer learning, multiple source domains, heterogeneous transfer"
2012,"Opinion mining, Sentimental classification, Boosting, Transfer learning, Transfer learning with multiple sources, Multiple source domains"
2017,"optimization, transfer learning, CMA-ES, Powell's Conjugate Gradient"
2013,"P2P, transfer learning, traffic flow identification"
2012,"PAC Theory, Rare Class, Transfer Learning, Class Imbalance, AdaBoost, Weighted Majority Algorithm"
2012,"Parametric programming, Solution path, Weighted support vector machines"
2012,"particle swarm optimization, transfer learning, similar image search, remote sensing"
2012,"particle swarm optimization, transfer learning, similar image search, remote sensing"
2018,"Passenger Flow, Prediction Model, Knowledge Transfer"
2017,"Pedestrian Counting, Deep Learning, Convolutional Neural Networks, Synthetic Images, Transfer Learning, Cross Entropy Cost Function, Squared Error Cost Function"
2018,"Pedestrian detection, Deep learning, Convolutional neural networks, Region-based neural networks (RCNN)"
2013,"Pedestrian detection, Scene change, Manifold learning, Transfer learning"
2014,"Pedestrian detection, transfer learning, confidence-encoded SVM, domain adaptation, video surveillance"
2014,"Pedestrian detection, Transfer learning, Sparse coding, HOG, SVM"
2015,"Pedestrians simulation, Transfer learning, Policy Reuse, Vector Quantization, Tile coding"
2015,"People counting, transfer learning, correspondence estimation"
2018,"Performance gap, Sustainability, Building performance simulation, Transfer learning, Multi-task learning, LSTM"
2017,"person re-identification, convolutional neural network, knowledge transfer"
2017,"Person re-identification, Covariance features, Deep leaning, Transfer learning"
2017,"personalization, smart device, user preference, distributed learning, context aware"
2012,"Photo quality assessment, geo-context, transfer learning, social media"
2016,"Policy reuse, Reinforcement learning, Online learning, Online bandits, Transfer learning, Bayesian optimisation, Bayesian decision theory"
2017,"Pre-training, Transfer learning, Spoken language understanding, Sequence labeling, Conditional random fiends, Multi-sense clustering, Word embedding, Hidden unit conditional random fields, LSTMs"
2015,"Preference learning, Collaborative filtering, Heterogeneous implicit feedbacks, Adaptive Bayesian personalized ranking, Transfer learning"
2016,"Process-oriented case-based reasoning, Transfer learning, CRM application"
2017,"Protein-ATP binding site prediction, Protein-ADP binding site prediction, Instance transfer learning, Random under sampling"
2014,"Q learning, Extreme learning machine, Continuous space, Multi-source transfer, Boat problem"
2015,"Quadrupedal robot, gait optimization, transfer learning, particle swarm optimization, evolutionary algorithms"
2017,"Query classification, Active learning, Transfer learning, Search engine, Query log"
2012,"Rare class, transfer learning, class imbalance, AdaBoost, Weighted Majority Algorithm, healthcare"
2016,"Rare class, Transfer learning, Class imbalance, AdaBoost, Weighted majority algorithm, HealthCare informatics, Text mining"
2016,"Real-time, Robot partner, Face recognition, Probabilistic, Transfer learning"
2015,"Receiver operating characteristic, AUC, Semi-supervised learning, Transfer learning, Semidefinite programming, RankBoost, SVMROC, SSLROC"
2016,"Reciprocal recommender system, Transfer learning"
2016,"Recommender system, Collaborative filtering, Logistic regression, White-space customer"
2016,"Recommender system, Quantity and quality, Pre-processing, Transfer learning"
2014,"Recommender Systems, Cosine Similarity, Collaborative Filtering, Social Network, Matrix Factorization"
2014,"Recommender systems, Cross domain, Topic modeling, Latent dirichlet allocation, Transfer learning"
2017,"Recommender systems, Cross-domain recommender system, Knowledge transfer, Collaborative filtering"
2018,"Recommender Systems, Deep Learning, Transfer Learning"
2016,"Recommender systems, Transfer learning, Collaborative filtering, Implicit ratings, Explicit ratings, Sparsity"
2017,"region based CNN, fast feature pyramids, detection, gender, man woman, transfer learning"
2015,"Region classification, conformal framework, instance-transfer learning"
2013,"Region classification, Conformal framework, Transfer learning"
2011,"Reinforcement learning, Actor-critic method, Transfer learning"
2019,"Reinforcement learning, Deep Q-learning, Stock trading, Trading strategy, Transfer learning"
2019,"Reinforcement learning, Human-robot interaction, Robot gaze control, Neural networks, Transfer learning, Multimodal data fusion"
2012,"Reinforcement Learning, Knowledge Transfer, Dimension Reduction, Exploration Policy"
2017,"Reinforcement learning, Lifelong learning, Distributed optimization, Transfer learning"
2013,"Reinforcement learning, Linked multicomponent robotic systems, Transfer learning, Hose transportation"
2009,"reinforcement learning, markov decision processes, assignment problem, coordination, transfer learning"
2017,"Reinforcement learning, Multi-objective optimization, Robotic tasks, Policy search"
2018,"reinforcement learning, policy gradient financial trading, transfer learning, strategy cloning"
2017,"Reinforcement learning, Skill acquisition, Transfer learning, Graph learning"
2014,"Reinforcement learning, state abstraction, function approximation, transfer learning, fuzzy clustering"
2018,"Reinforcement learning, Transfer learning, Case-based reasoning, Robotics"
2016,"reinforcement learning, transfer learning, dynamic environment"
2013,"Reinforcement Learning, Transfer learning, Model-based Reinforcement Learning"
2018,"reinforcement learning, transfer learning, object-oriented options"
2010,"Reinforcement learning, Transfer learning, Policy Reuse"
2015,"Reinforcement learning, transfer learning, task selection, inter-task mappings"
2012,"relationships between attributes, Markov Logic Network, small sample, first-order predicate, regression problem"
2012,"Relevance, search engine, learning to rank, transfer learning, super-features, convergence analysis, experimental evaluation, Algorithms, Experimentation, Theory"
2018,"remote sensing, superpixel segmentation, convolutional neural network, transfer learning, feature selection, semi-supervised learning"
2017,"RGB-D image, Visual place recognition, Object categorization, Multi-modal deep learning"
2014,"Risk-Awareness, Memoryless Stochastic Abstract Policies, Transfer Learning"
2018,"Rough sets, deep learning, transfer learning, English to Arabic Translation, rough neural networks"
2018,"Satellite image, No-reference, Neural network, Assessment, Real time"
2019,"Scene classification, Transfer learning, ResNet, Data augmentation, CNN"
2017,"Scene understanding, food related scene classification, fine-tuning, convolutional neural networks"
2019,"Segmentation recommender, Deep learning, Crowdsourcing, Transfer learning, VGG16, ResNet50"
2017,"Semantic Segmentation, Convolutional Networks, Deep Learning, Transfer Learning"
2017,"Semantic segmentation, Model compression, Transfer learning, Real-time application"
2018,"Semantic Segmentation, Transfer Learning, Deep Learning, CNN, Plant Segmentation"
2013,"Semi-supervised classifier, Hybrid discriminative and generative model, Transfer learning, Text classification"
2018,"Semi-supervised discriminant analysis, Transfer learning, Cross-domain mean constraint, Maximum mean discrepancy"
2012,"Semi-supervised projection clustering, Transferred centroid regularization, Domain adaptation, Pairwise constraint, Transfer learning"
2018,"Sence text detection, Multi-language, Transfer learning, Fully convolution networks"
2015,"sentiment analysis, machine learning, support vector machine, classification, transfer learning, Polish, opinions"
2011,"Sentiment analysis, Opinion mining, Information retrieval, Data mining"
2017,"sentiment analysis, topic adaption, transfer learning"
2017,"Sentiment Analysis, Transfer Learning, Support Vector Machine, Twitter"
2017,"sentiment classification, neural network, Gated Recurrent Unit, transfer learning"
2017,"Ship License Numbers localization, Convolution Neural Network, Text Detection"
2016,"Signature verification, Metric Learning, Multitask Learning, Transfer Learning"
2018,"Similarity function learning, Local metric learning, Nearest neighbors classification, Face verification"
2017,"Single-Image Super Resolution, Iris Recognition, Transfer Learning, Convolutional Neural Networks"
2014,"Single-trial classification, ERP, VEP, EEG, transfer learning, active learning, active transfer learning"
2019,"Sketch-based local binary patterns, Siamese MLP, Transfer learning, Joint Bayesian, Shape retrieval"
2018,"Skin disease inference, transfer learning"
2017,"Skin lesion, Melanoma detection, Computer Vision-based diagnostic systems, Convolutional neural networks - CNN, CNN architectures, Transfer learning"
2016,"Small sample learning, Transfer learning, Object recognition, Model transformation, Deep regression networks"
2009,"Smart Environments, Data Mining, Transfer Learning, Activity Mapping"
2017,"smart healthcare, smart diagnosis, MRI, artificial intelligence, pattern recognition, Alzheimer's disease"
2018,"smile detection, CNN, deep learning, transfer learning"
2018,"Soccer video scene and event classification, Deep transfer learning, CNN"
2017,"Social emotion classification, hybrid neural network, sparse encoding, transfer learning"
2016,"soft biometrics, age classification, gender classification, convolutional neural networks, deep learning, transfer learning"
2016,"Soft-partition clustering, Fuzzy c-means, Maximum entropy, Diversity index, Transfer learning, Cross-domain clustering"
2018,"Software defect prediction, Cross-project, Transfer learning"
2017,"sound event detection (SED), connectionist temporal classification (CTC), transfer learning, convolutional neural networks (CNN)"
2016,"Source domain, target domain, low-rank and sparse constraints, knowledge transfer, subspace learning"
2013,"speaker verification, text-dependent, transfer learning"
2016,"speaker verification, transfer learning, PLDA, short utterance"
2014,"Spectral clustering, Constrained clustering, Transfer learning, Graph partition"
2015,"Speech analysis, Paralinguistics, Big data, Self-learning"
2016,"speech emotion classification, human-computer interaction, computational paralinguistics"
2016,"Speech emotion recognition, Deep neural network, Transfer learning, Feed forward network"
2013,"speech emotion recognition, transfer learning, sparse autoencoder, deep neural networks"
2014,"speech enhancement, deep neural network, transfer learning, multi-lingual, resource-limited language"
2017,"speech recognition, deep neural network, cross lingual, cross-bandwidth, transfer learning"
2017,"speech recognition, end-to-end neural network, raw speech waveform"
2017,"speech recognition, low-resource languages, transfer learning, distillation"
2016,"speech recognition, whispered speech, deep neural networks, bottleneck feature networks, multilingual bottlenecks, low-resource speech recognition"
2017,"Sports sununarization, Encoder Decoder model, Transfer learning"
2018,"Stacked RICA, Transfer learning, Logistic regression model, KL-Divergence"
2017,"Standard-free calibration transfer, Transfer learning, Transfer component analysis, Artificial transfer standards, Transfer orthogonal signal correction, Piecewise direct standardization"
2012,"Statistical generative models, cross-domain learning, distinction and commonality, classification"
2015,"Stress modelling, Transfer learning, Semi-supervised learning"
2016,"student classification, transfer learning, co-training, educational data mining, academic credit system"
2017,"Sum-Product Networks, Transfer learning"
2013,"Supervised transfer learning, Cross-task classification, Noise handling"
2012,"surgical model, preoperative model, support vector machines, transfer learning"
2017,"surveillance, moving object detection, object tracking, aerial image classification, deep learning, transfer learning, real time, low altitude, aerial video, automation"
2011,"survey, collaborative filtering, transfer learning, cross-domain, recommender systems"
2014,"SVM, AML, Watershed, Transfer learning"
2018,"switching reinforcement learning, decision making, autonomous system, uncertain environment"
2018,"Tactile sensors, Rescue robotics, Machine learning, Deep learning, Transfer learning, Object recognition"
2015,"Task-environment, Automation, Intelligence evaluation, Artificial intelligence, Machine learning"
2015,"Temporal adaptation, Term smoothing, Text categorization, Transfer learning"
2017,"Terms bibliography extraction, CRF, confidence measure, active learning, transfer learning"
2014,"Text categorization, Transfer learning, Boosting, Lack of labeled data, Weighting strategy"
2018,"Text games, reinforcement learning, neural networks"
2015,"Text-to-image, heterogeneous transfer learning, robust matrix factorization, sparsity, non-negative matrix, noise removal"
2018,"Textual sentiment analysis, Word embedding, Lexicon embedding, Attention mechanism, Cross-modality consistent regression"
2019,"Texture classification, Texture scaling, Transfer learning, Partial least-square regression, Coupled dictionary learning, Local binary patterns"
2017,"Theme analysis, Deep learning, Transfer learning"
2018,"Time series prediction, Transfer learning, Extreme learning machine (ELM), Online learning, Ensemble learning"
2013,"Time series, cascade classification, transfer learning, active learning, automatic classification, land-cover maps, remote sensing"
2018,"Times Roman, image area, acronyms, references"
2017,"Tool-body assimilation, Motor babbling, Deep neural network, Recurrent neural network, Transfer learning"
2012,"traffic scene surveillance, object classification, transfer learning"
2015,"tranfer learning, personalied ranking, collaborative filtering"
2015,"Transducitve learning, multi-view Learning, transfer Learning, zero-shot Learning, heterogeneous hypergraph"
2010,"transductive transfer learning, classification, multiple sources, logistic regression"
2014,"Transductive transfer learning, Large-margin approach, Rademacher complexity, Stochastic gradient descent"
2019,"Transductive transfer learning, Reconstruction matrix, Subspace learning, Discriminative capability of target domains"
2017,"Transfer Learning (TL), sincerity prediction, deception prediction"
2017,"Transfer learning, Active learning, Recommender systems"
2018,"Transfer Learning, Activity Recognition, Deep Learning, Domain Adaptation"
2011,"transfer learning, adaboost, multi-view learning, classification"
2011,"Transfer learning, AdaBoost, TrAdaBoost, Weighted Majority Algorithm"
2014,"Transfer learning, adaptation regularization, distribution adaptation, manifold regularization, generalization error"
2009,"Transfer learning, Analogical reasoning, Model formulation, Case-based reasoning"
2014,"transfer learning, anatomy registration, automatic evaluation"
2018,"Transfer Learning, Artificial Neural Networks, Face Verification, Metric Learning"
2016,"Transfer Learning, Atanassov Intuitionistic fuzzy sets, negative transfer learning, Fuzzy domain adaption, Hausdorff Intuitionistic similarity metric, Yager-generating function"
